id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
585;*;265;2.8;3;708;0.79;4.2;0;;;0.24;0.00;0.07;0.00;25.0
586;*;40;0.3;1809;5;0.27;0.6;0;;;0.00;0.00;0.00;0.00;0.0
587;1.95;493;3.1;279;640;0.93;2.6;0;;;0.29;0.16;0.00;0.00;0.0
588;1.59;594;5.2;125;671;1.92;4.7;0;;;0.29;0.05;0.39;0.00;0.0
589;1.10;853;2.3;1;651;1.79;4.2;0;;;0.30;0.00;0.44;0.00;0.0
590;1.00;118;1.8;15;354;0.45;0.9;0;;;0.00;0.00;0.03;0.00;2.5
591;0.38;26;18.3;12;362;0.22;0.3;0;;;0.00;0.00;0.00;2.58;0.0
592;2.67;741;5.4;3;546;1.51;5.2;0;;;0.94;0.00;0.13;5.92;0.0
593;2.81;615;4.7;9;869;1.09;4.4;0;;;0.12;0.00;0.13;0.00;0.0
594;0.41;166;0.8;1;727;0.18;0.8;0;;;0.00;0.00;0.00;0.00;27.7
595;0.13;49;0.5;1;303;0.28;0.3;0;875;438;0.00;0.09;0.03;0.00;2.2
596;4.05;396;2.0;5;533;0.75;2.1;0;;;0.38;0.00;0.13;1.08;0.0
