id;Manganes(mg);Fosforo(mg);Ferro(mg);Sodio(mg);Potassio(mg);Cobre(mg);Zinco(mg);Retinol(mcg);RE(mcg);RAE (mcg);Tiamina(mg);Riboflavina(mg);Piridoxina(mg);Niacina(mg);Vitamina_C(mg)
279;0,03;186;0,9;13585;434;0,09;0,7;Tr;Tr;Tr;Tr;0,21;Tr;*;
280;Tr;51;0,2;1256;50;0,04;0,6;Tr;Tr;Tr;0,03;0,05;Tr;5,17;Tr
281;0,06;462;1,0;160;420;Tr;0,6;17;17;17;Tr;Tr;Tr;0,77;
282;Tr;204;0,3;115;249;0,03;0,6;12;12;12;Tr;0,04;Tr;9,77;
283;0,04;181;0,2;176;299;0,13;0,3;6;6;6;0,04;Tr;Tr;1,31;
284;0,06;266;1,3;367;102;0,17;1,2;Tr;Tr;Tr;Tr;Tr;Tr;1,07;
285;0,04;234;0,7;201;72;0,11;0,7;20;20;20;Tr;Tr;Tr;Tr;
286;0,38;337;2,4;99;107;0,19;1,1;Tr;Tr;Tr;0,05;Tr;Tr;0,35;
287;0,07;154;2,9;360;186;0,72;5,7;Tr;Tr;Tr;0,04;0,31;Tr;4,17;Tr
288;0,02;190;0,5;47;317;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;1,87;
289;0,01;221;1,0;40;326;0,03;0,7;Tr;Tr;Tr;0,13;0,06;Tr;2,70;
290;0,02;185;0,6;37;254;0,05;1,0;Tr;Tr;Tr;Tr;Tr;Tr;2,09;
291;0,02;154;0,3;45;293;0,02;0,4;8;8;8;Tr;0,08;Tr;*;
292;0,01;183;0,4;68;339;0,03;0,4;65;65;65;0,12;0,05;Tr;2,62;
293;0,03;176;0,5;85;291;0,02;0,7;Tr;Tr;Tr;0,11;0,10;Tr;4,23;
294;0,02;164;0,6;68;194;0,03;0,7;6;6;6;Tr;0,03;Tr;0,77;
295;0,01;189;0,2;40;393;0,02;0,5;Tr;Tr;Tr;Tr;Tr;Tr;3,70;
296;0,28;696;0,9;48;244;0,09;3,3;4;4;4;0,05;Tr;Tr;3,30;
297;0,34;1067;0,8;65;331;0,31;5,6;9;9;9;0,25;0,03;0,04;8,93;
298;0,41;441;0,6;41;207;0,05;2,4;Tr;Tr;Tr;Tr;0,03;0,07;1,86;
299;0,36;578;3,0;37;319;0,15;3,8;30;30;30;0,05;0,07;Tr;0,79;
300;0,21;735;0,9;41;318;0,14;3,2;12;12;12;0,03;0,03;Tr;7,27;
301;0,03;273;0,4;120;364;0,03;0,9;Tr;Tr;Tr;0,05;Tr;Tr;7,97;
302;0,01;185;0,2;80;340;Tr;0,3;Tr;Tr;Tr;Tr;Tr;Tr;1,34;
303;0,02;279;0,4;90;447;0,03;0,6;Tr;Tr;Tr;0,05;Tr;Tr;0,77;
304;0,01;136;0,2;76;261;Tr;0,3;3;3;3;Tr;0,04;Tr;0,60;
305;0,06;504;0,5;107;355;0,08;1,1;39;39;39;0,08;0,11;Tr;8,07;
306;0,07;216;0,9;91;216;0,03;0,4;18;18;18;Tr;0,03;Tr;0,60;
307;0,01;141;0,2;77;253;Tr;0,3;48;48;48;Tr;0,05;Tr;3,10;
308;Tr;204;0,3;115;249;0,03;0,6;4;4;4;0,14;Tr;Tr;8,87;
309;0,08;105;1,5;51;208;0,36;0,3;19;;;Tr;0,03;Tr;1,10;6,9
310;0,07;327;0,5;120;304;0,10;0,6;Tr;Tr;Tr;0,08;Tr;Tr;6,60;
311;0,08;332;0,8;81;527;0,04;2,1;7;7;7;0,03;Tr;Tr;6,63;
312;0,01;174;0,2;43;294;0,03;0,4;Tr;Tr;Tr;Tr;Tr;Tr;4,95;
313;0,03;237;0,5;53;360;0,04;0,8;5;5;5;0,03;Tr;Tr;2,87;
314;0,05;207;0,4;67;313;0,04;0,7;5;5;5;Tr;Tr;Tr;1,19;
315;0,02;300;0,5;85;384;0,04;0,6;Tr;Tr;Tr;0,13;0,06;Tr;5,35;
316;Tr;259;0,2;64;376;0,02;0,3;Tr;Tr;Tr;0,20;0,03;Tr;3,21;
317;0,01;352;0,4;96;518;0,04;0,5;Tr;Tr;Tr;0,23;0,03;Tr;6,30;
318;0,24;578;1,3;74;574;0,14;1,8;Tr;Tr;Tr;0,06;Tr;Tr;5,83;
319;0,11;496;3,5;666;367;0,03;1,6;Tr;Tr;Tr;0,42;0,04;Tr;6,55;
320;0,25;629;1,1;60;460;0,14;1,6;Tr;Tr;Tr;0,06;Tr;Tr;7,10;
321;0,10;294;1,3;60;312;0,13;1,3;Tr;Tr;Tr;Tr;0,07;Tr;7,70;
322;0,01;168;0,3;57;288;0,10;0,4;Tr;Tr;Tr;Tr;0,05;Tr;0,90;
323;0,04;225;0,9;943;270;0,03;1,6;Tr;;;0,62;0,04;Tr;0,70;Tr
324;0,02;123;Tr;22180;218;Tr;Tr;Tr; ;;0,70;0,07;0,27;Tr;
325;0,13;48;0,7;22300;68;Tr;0,3;Tr; ; ;0,05;0,04;Tr;*;
326;0,01;164;2,7;52;256;0,06;8,1;Tr;Tr;Tr;Tr;0,32;Tr;1,76;
327;Tr;158;1,8;49;237;0,08;6,3;2;2;2;0,15;0,21;0,03;4,33;
328;Tr;164;2,4;56;254;0,07;8,0;Tr;Tr;Tr;Tr;0,04;0,07;1,63;
329;Tr;144;1,5;50;234;0,04;5,2;2;2;2;0,12;0,12;Tr;2,33;
330;0,17;145;1,6;621;328;0,15;2,3;Tr; ; ;0,11;0,04;Tr;2,20; 
331;0,41;244;1,9;1030;536;0,19;2,6;Tr; ; ;0,13;0,07;Tr;6,60;
332;0,01;63;0,6;38;70;0,05;2,5;Tr;Tr;Tr;Tr;Tr;Tr;2,18;
333;0,01;61;0,5;45;85;0,06;2,1;Tr;Tr;Tr;Tr;Tr;Tr;2,13;
334;0,01;144;1,5;58;267;0,06;3,5;4;4;4;0,09;0,09;0,12;1,55;
335;Tr;214;2,6;81;323;0,13;6,2;Tr;Tr;Tr;Tr;0,06;Tr;1,74;
336;Tr;178;2,0;79;325;0,06;4,6;Tr;Tr;Tr;Tr;0,04;Tr;1,81;
337;0,01;287;2,8;83;385;0,12;7,6;Tr;Tr;Tr;0,03;0,08;Tr;1,86;
338;0,02;101;3,5;1443;90;0,07;6,1;Tr;Tr;Tr;0,05;0,07;Tr;1,50;
339;Tr;122;1,5;5875;236;0,03;3,9;Tr;Tr;Tr;0,12;0,07;Tr;1,63;
340;0,27;203;2,9;77;271;0,10;2,9;15;;;0,07;0,04;Tr;3,02;
341;Tr;164;1,6;39;245;0,04;4,4;3;3;3;0,14;0,08;Tr;2,68;
342;0,01;252;2,8;51;383;0,08;6,7;Tr;Tr;Tr;Tr;0,19;0,17;2,75;
343;0,01;164;1,3;44;285;0,04;2,8;4;4;4;0,11;0,08;0,03;3,79;
344;Tr;219;2,4;57;352;0,09;4,8;Tr;Tr;Tr;Tr;0,18;0,13;4,91;
345;Tr;184;1,7;53;335;0,05;3,2;Tr;Tr;Tr;Tr;0,20;Tr;4,64;
346;Tr;241;2,4;58;386;0,09;5,1;Tr;Tr;Tr;Tr;0,17;0,16;4,93;
347;Tr;179;2,2;92;270;0,08;5,5;Tr;Tr;Tr;Tr;0,08;0,35;0,56;
348;Tr;130;1,2;70;151;Tr;2,7;5;5;5;0,12;0,11;Tr;5,99;
349;Tr;189;1,7;41;252;0,07;5,0;2;2;2;Tr;Tr;Tr;3,26;
350;Tr;189;1,9;49;358;0,05;2,8;2;2;2;0,12;0,20;Tr;4,38;
351;Tr;183;2,6;44;239;0,11;4,7;2;2;2;Tr;Tr;Tr;4,09;
352;Tr;175;1,9;61;335;0,05;2,6;3;3;3;0,12;0,19;Tr;2,32;
353;Tr;212;2,7;72;321;0,08;5,3;Tr;Tr;Tr;Tr;0,08;0,14;2,16;
354;Tr;220;1,1;47;151;0,03;2,4;3;3;3;0,11;0,05;0,03;3,33;
355;0,26;334;5,6;76;265;9,01;3,5;7937;7937;7937;0,14;0,90;Tr;10,66;
356;0,22;420;5,8;82;309;12,58;4,0;14574;14574;14574;0,21;2,69;Tr;11,92;
357;0,01;193;1,9;49;322;0,08;2,8;4;4;4;0,12;0,10;0,04;1,78;
358;0,02;308;2,9;58;326;0,14;4,1;Tr;Tr;Tr;0,03;0,08;0,05;4,27;
359;Tr;181;2,8;42;249;0,07;5,6;2;2;2;Tr;Tr;Tr;2,32;
360;Tr;167;1,6;54;324;0,05;4,5;2;2;2;0,11;0,16;Tr;3,28;
361;Tr;161;2,0;39;207;0,07;6,5;Tr;Tr;Tr;Tr;0,05;0,07;1,61;
362;0,00;131;1,5;51;274;0,04;4,2;5;5;5;0,08;0,07;0,03;3,56;
363;Tr;167;1,9;48;254;0,05;7,0;3;3;3;Tr;Tr;Tr;2,55;
364;Tr;185;1,3;54;362;0,05;2,4;2;2;2;0,10;0,14;0,03;2,19;
365;0,01;136;2,1;59;175;0,08;4,1;Tr;Tr;Tr;Tr;0,08;Tr;1,83;
366;0,02;164;1,7;73;251;0,09;2,9;Tr;Tr;Tr;0,05;0,04;Tr;1,18;
367;Tr;181;1,1;37;274;0,03;3,5;3;3;3;0,12;0,08;0,03;4,27;
368;Tr;237;2,4;58;386;0,08;5,6;Tr;Tr;Tr;Tr;0,04;0,13;1,46;
369;0,01;165;2,0;43;299;0,06;3,0;4;4;4;0,12;0,07;Tr;3,59;
370;0,02;279;3,2;52;385;0,11;4,8;Tr;Tr;Tr;0,03;0,05;0,05;4,66;
371;Tr;176;2,4;62;253;0,08;6,4;2;2;2;Tr;Tr;Tr;1,97;
372;Tr;162;1,9;66;296;0,05;3,7;2;2;2;0,09;0,19;0,04;2,79;
373;Tr;158;1,8;65;250;0,08;3,7;Tr;Tr;Tr;Tr;0,04;,0,02;0,91;
374;Tr;197;2,2;58;250;0,10;6,8;Tr;Tr;Tr;0,03;0,04;Tr;2,16;
375;Tr;163;1,9;66;319;0,05;3,3;3;3;3;0,13;0,21;Tr;2,67;
376;0,01;170;1,8;49;318;0,05;4,5;2;2;2;0,11;0,08;Tr;3,61;
377;0,02;289;3,0;60;421;0,12;8,1;Tr;Tr;Tr;0,04;0,03;Tr;3,01;
378;Tr;136;1,6;56;204;0,05;3,9;Tr;Tr;Tr;Tr;0,30;Tr;4,54;
379;Tr;124;1,3;64;241;0,06;2,6;4;4;4;0,11;0,07;0,03;3,91;
380;Tr;165;1,7;38;232;0,06;3,8;3;3;3;0,13;0,16;Tr;4,77;
381;Tr;246;3,2;60;355;0,14;5,5;Tr;Tr;Tr;0,03;0,06;0,13;1,60;
382;Tr;183;2,1;61;322;0,08;4,2;Tr;Tr;Tr;Tr;0,05;Tr;1,89;
383;0,02;282;3,6;61;377;0,17;6,7;Tr;Tr;Tr;Tr;0,08;0,03;1,82;
384;0,02;82;1,9;1943;86;0,03;7,7;Tr;Tr;Tr;Tr;0,06;Tr;2,32;
385;0,01;100;1,3;4440;190;Tr;3,7;Tr;Tr;Tr;Tr;0,07;Tr;2,83;
386;0,28;93;1,3;532;166;0,09;0,5;Tr;;;0,09;Tr;Tr;2,60;Tr
387;0,34;144;2,5;711;221;0,10;2,7;Tr;;;0,11;0,04;Tr;1,95;Tr
388;0,39;176;2,3;916;313;0,09;3,3;Tr;;;0,14;0,04;Tr;4,77;Tr
389;0,32;78;1,2;525;138;0,07;0,6;Tr;;;0,12;Tr;Tr;Tr; 
390;0,25;78;0,7;771;156;0,09;0,5;Tr;;;0,11;Tr;0,03;Tr; 
391;0,01;155;0,6;96;211;0,02;1,2;10;10;10;0,11;0,04;Tr;2,58;
392;0,01;162;1,7;56;210;0,08;1,7;16;16;16;0,03;Tr;Tr;6,33;
393;0,02;210;2,1;53;224;0,15;2,7;6;6;6;0,03;0,03;Tr;9,20;
394;0,05;193;4,1;95;220;0,20;2,0;9;9;9;0,23;0,35;Tr;3,39;
395;0,06;276;6,5;128;243;0,30;3,4;Tr;Tr;Tr;0,20;0,19;Tr;9,70;
396;Tr;251;1,2;95;318;0,05;2,6;6;6;6;0,05;0,05;Tr;10,40;
397;0,02;185;0,7;95;275;0,03;2,0;10;10;10;0,16;0,05;Tr;2,04;
398;Tr;187;0,8;64;191;0,03;2,8;Tr;Tr;Tr;0,07;Tr;Tr;8,20;
399;0,02;196;0,8;98;291;0,03;2,2;12;12;12;0,17;0,05;Tr;3,53;
400;0,35;344;9,5;82;281;0,26;3,7;3863;3863;3863;0,62;0,56;Tr;6,36;
401;0,06;249;1,1;122;408;0,05;0,8;7;7;7;0,05;0,04;0,52;11,07;
402;0,01;174;0,6;63;217;0,04;1,1;7;7;7;0,08;0,03;Tr;3,28;
403;Tr;233;0,6;70;283;0,03;1,6;Tr;Tr;Tr;0,09;Tr;Tr;11,20;
404;Tr;194;0,5;51;217;0,04;1,2;Tr;Tr;Tr;0,10;Tr;Tr;12,83;
405;0,01;190;0,5;73;238;0,03;1,2;4;4;4;0,12;0,03;Tr;3,28;
406;0,01;297;0,5;56;380;0,01;1,0;6;6;6;0,12;Tr;Tr;15,80;
407;0,01;213;0,4;62;252;0,05;0,6;4;4;4;0,09;Tr;Tr;2,58;
408;Tr;224;0,3;36;231;0,02;0,9;Tr;Tr;Tr;0,10;Tr;Tr;7,60;
409;0,01;222;0,4;56;267;0,03;0,7;2;2;2;0,10;Tr;Tr;5,86;
410;Tr;295;0,3;50;387;0,02;0,8;Tr;Tr;Tr;0,11;Tr;Tr;24,83;
411;Tr;252;1,2;96;323;0,06;2,2;8;8;8;0,10;0,05;Tr;11,20;
412;0,01;154;0,7;68;190;0,05;1,3;7;7;7;0,09;0,06;Tr;3,40;
413;Tr;281;1,2;106;382;0,07;2,2;11;11;11;0,10;0,05;Tr;10,20;
414;0,02;187;0,9;80;241;0,06;1,7;4;4;4;0,12;0,06;Tr;4,06;
415;0,36;141;1,9;869;383;0,16;1,7;Tr;;;0,06;0,08;0,04;3,53;
416;0,52;324;3,0;1252;660;0,17;3,2;Tr;;;0,13;0,06;Tr;2,73;
417;0,40;263;2,6;1090;538;0,18;3,0;Tr;;;0,18;0,06;Tr;5,77;
418;0,05;182;0,5;1126;280;0,05;0,7;Tr;;;0,11;0,05;Tr;4,60;
419;0,10;262;0,8;1374;364;0,04;1,2;Tr;;;0,11;0,05;Tr;5,67;
420;0,10;228;0,7;1351;356;0,09;1,0;Tr;;;0,12;0,04;Tr;5,97;
421;0,01;157;0,4;1176;316;0,04;1,4;Tr;;;0,49;0,05;Tr;2,60;
422;0,01;211;0,9;1432;409;0,06;3,1;Tr;;;0,41;0,07;Tr;5,83;
423;0,01;210;1,0;1456;427;0,07;3,5;Tr;;;0,40;0,07;Tr;6,60;
424;0,11;216;1,5;1212;247;0,08;1,0;25;;;0,14;0,06;Tr;3,00;
425;0,02;197;0,6;628;175;0,03;1,2;Tr;Tr;Tr;0,06;Tr;Tr;6,23;
426;Tr;217;0,9;711;281;0,36;1,4;Tr;Tr;Tr;0,06;Tr;Tr;4,23;
427;Tr;195;0,5;54;335;0,07;1,4;Tr;Tr;Tr;0,90;Tr;Tr;2,65;
428;0,01;290;0,8;63;404;0,07;2,2;10;10;10;0,34;Tr;Tr;3,25;
429;Tr;229;0,9;51;366;0,06;2,3;Tr;Tr;Tr;0,77;0,14;0,03;1,92;
430;Tr;201;1,0;63;246;0,07;3,1;Tr;Tr;Tr;0,71;0,05;Tr;10,63;
431;Tr;159;0,9;88;248;0,05;2,3;Tr;Tr;Tr;0,62;Tr;Tr;8,27;
432;Tr;238;0,5;39;311;0,03;1,8;Tr;Tr;Tr;0,75;0,07;0,11;12,43;
433;Tr;195;0,5;53;334;0,01;0,9;Tr;Tr;Tr;0,95;Tr;Tr;13,83;
434;0,01;31;1,4;616;228;0,23;0,6;Tr;Tr;Tr;0,07;0,03;Tr;Tr;
435;0,01;247;1,3;62;395;0,09;3,3;Tr;Tr;Tr;0,77;0,09;Tr;6,57;
436;Tr;192;0,9;102;256;0,16;1,7;Tr;Tr;Tr;1,06;0,06;Tr;5,67;
437;0,01;42;0,6;1158;24;0,05;1,4;Tr;Tr;Tr;0,20;0,06;Tr;1,43;
438;0,04;274;0,7;1021;295;0,04;1,3;Tr; ; ;0,62;0,03;Tr;3,78;
439;0,04;244;0,8;1039;307;0,04;1,5;Tr; ; ;0,50;0,03;Tr;4,00;
440;0,76;174;2,2;40;288;0,51;4,1;Tr;;;0,04;0,04;Tr;1,81;Tr
441;0,39;126;1,7;39;242;0,13;2,8;Tr;;;0,09;0,03;Tr;1,20;Tr
442;0,72;166;2,0;836;322;0,16;2,8;Tr;;;0,12;0,10;Tr;1,50;Tr
443;0,03;354;1,3;1574;548;0,05;3,2;Tr;;;0,88;0,23;Tr;12,49;
444;Tr;35;0,4;50;58;0,11;0,2;Tr;Tr;Tr;Tr;Tr;Tr;5,10;
445;0,01;95;0,9;125;171;0,10;0,8;Tr;Tr;Tr;Tr;Tr;Tr;5,03;
446;Tr;63;Tr;46;62;0,02;0,2;Tr;;;0,03;0,14;Tr;0,33;2,1
447;0,01;118;0,3;52;119;0,02;0,3;128;;;Tr;0,10;Tr;0,00;Tr
448;Tr;119;Tr;52;71;0,02;0,4;23;;;0,04;0,22;Tr;Tr;0,9
449;Tr;110;Tr;60;182;Tr;0,5;*;;;Tr;0,22;Tr;Tr;0,3
450;*;*;*;*;*;*;*;*;;;*;*;*;*;
451;Tr;73;Tr;38;52;0,02;0,3;27;;;0,03;0,12;0,02;Tr;Tr
452;Tr;66;0,1;37;52;0,02;0,3;21;;;0,02;0,10;Tr;0,38;Tr
453;Tr;187;0,1;94;329;0,03;0,9;53;;;0,06;0,33;0,57;Tr;2,1
454;Tr;113;0,1;74;140;0,04;0,4;35;;;Tr;0,14;Tr;Tr;Tr
455;0,05;71;0,5;72;155;0,04;0,3;39;;;0,07;0,29;0,14;1,23;3,3
456;Tr;1673;0,9;432;1556;0,16;3,8;299;;;0,32;1,20;Tr;0,81;
457;Tr;85;Tr;51;140;0,02;0,4;Tr;;;0,04;0,26;Tr;1,49;Tr
458;Tr;82;Tr;64;133;0,02;0,4;21;;;0,04;0,24;Tr;1,52;Tr
459;Tr;1242;0,5;323;1132;0,11;2,7;361;;;0,24;1,03;Tr;Tr;*
460;0,02;63;Tr;33;94;0,01;0,3;Tr;;;0,08;0,11;Tr;Tr;0,5
461;0,02;123;0,9;31;105;Tr;0,3;161;;;Tr;0,25;Tr;Tr;Tr
462;0,02;403;0,2;501;120;0,07;2,7;111;;;0,03;0,32;Tr;Tr;
463;0,03;470;0,3;581;62;0,08;3,5;109;;;Tr;0,20;Tr;Tr;
464;0,05;745;0,5;1844;96;0,17;4,4;66;;;Tr;0,44;0,23;Tr;Tr
465;0,01;578;0,3;780;194;0,05;1,3;57;;;Tr;0,20;Tr;Tr;Tr
466;0,02;448;0,1;412;121;0,01;2,7;273;;;0,22;0,27;0,21;2,68;Tr
467;0,03;461;0,3;580;73;0,10;3,5;123;;;Tr;0,22;Tr;Tr;
468;0,02;448;0,1;558;93;0,05;1,3;195;;;Tr;0,19;Tr;Tr;Tr
469;Tr;162;0,1;283;112;Tr;0,5;53;;;Tr;0,15;Tr;Tr;Tr
470;Tr;9;0,7;44;13;Tr;Tr;NA;;;;;;;
471;0,04;9;Tr;1;156;0,01;Tr;NA;;;;;;;
472;Tr;Tr;Tr;3;Tr;0,06;Tr;NA;;;Tr;Tr;Tr;Tr;
473;0,21;5;0,8;Tr;18;0,01;0,1;NA;;;Tr;Tr;0,03;Tr;2,8
474;0,01;19;Tr;4;29;Tr;Tr;NA;;;Tr;Tr;0,14;2,92;Tr
475;0,01;1;Tr;1;10;0,01;Tr;NA;;;1,23;0,23; ; ; 
476;0,27;Tr;Tr;Tr;5;Tr;Tr;NA;;;0,89;Tr; ; ; 
477;0,09;2;Tr;Tr;13;Tr;Tr;NA;;;3,11;0,48; ; ; 
478;0,25;4;Tr;2;162;Tr;Tr;NA;;;0,01;Tr;Tr;Tr;2,4
479;Tr;0;Tr;8;2;Tr;Tr;NA;;;;;;;
480;Tr;17;Tr;7;1;Tr;Tr;NA;;;;;;;
481;Tr;Tr;Tr;9;1;Tr;Tr;NA;;;;;;;
482;Tr;1;Tr;9;16;Tr;Tr;NA;;;;;;;
483;Tr;Tr;Tr;9;4;Tr;Tr;NA;;;;;;;
484;0,03;314;1,4;216;127;0,03;1,4;59;;;0,03;0,24;Tr;Tr;Tr
485;Tr;279;3,3;129;79;0,04;2,1;305;;;0,11;0,12;Tr;0,97; 
486;Tr;15;0,1;181;146;0,03;Tr;NA;;;Tr;0,08;Tr;Tr; 
487;0,06;386;2,9;45;87;Tr;2,9;148;;;0,18;0,22;Tr;Tr; 
488;0,02;184;1,5;146;139;0,04;1,2;32;;;0,08;0,30;Tr;Tr; 
489;Tr;164;1,6;168;150;0,06;1,1;79;;;0,07;0,58;Tr;0,75; 
490;0,03;422;2,1;166;184;0,04;1,5;94;;;0,06;0,32;Tr;Tr;Tr
491;0,55;200;5,4;65;496;0,56;1,0;796;;;1,38;1,02;1,52;4,99;Tr
492; ;Tr;0,2;Tr;3; Tr;Tr;NA;;;;;;;
493;2,03;38;8,3;25;522;0,17;0,5;NA;;;Tr;0,03;Tr;Tr;Tr
494; ;Tr;0,1;12;6; Tr;Tr;NA;;;;;;;
495;0,30;212;1,6;77;355;0,31;1,1;Tr; ; ;0,05;0,22;0,59;0,63;Tr
496;0,36;303;1,5;64;431;0,45;1,3;36;;;0,04;0,24;Tr;1,37;1,4
497;0,41;276;3,3;85;458;0,43;1,1;7;;;0,31;0,25;Tr;0,79;2,0
498;0,83;220;3,6;9;432;0,77;1,5;Tr;;;0,20;0,04;Tr;1,06;2,1
499;0,36;396;1,2;29;183;0,20;0,4;NA;;;Tr;Tr;0,16;0,47;Tr
500;0,01;14;0,9;Tr;137;Tr;Tr;NA;;;0,08;Tr;0,04;Tr;0,1
501;0,01;141;0,1;120;259;0,02;0,5;36;36;36;0,05;0,26;Tr;Tr;Tr
502;Tr;Tr;0,1;43;2;Tr;Tr;Tr; ; ;0,19;Tr;0,22;Tr;Tr
503;Tr;5;0,1;59;5;Tr;Tr;NA;;; ; ; ; ; 
504;0,06;4;0,4;15;24;0,20;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
505;0,09;5;0,5;14;36;0,03;0,1;NA;;;0,04;Tr;Tr;Tr;Tr
506;0,06;20;0,7;11;83;0,09;0,1;NA;;;Tr;Tr;Tr;Tr;Tr
507;0,38;4;0,3;6;99;Tr;0,2;NA;;;0,11;Tr;Tr;Tr;0,7
508;2,62;74;5,4;4;395;0,84;0,3;NA;;;Tr;0,05;0,20;Tr;Tr
509;0,25;168;1,4;27;111;0,10;1,1;76;;;Tr;0,04;0,04;1,14;Tr
510;1,66;21;4,4;22;459;0,17;0,6;NA;;;Tr;Tr;0,04;Tr;Tr
511;2,58;169;8,1;1;1609;1,30;0,5;NA;;;Tr;Tr;Tr;11,89;Tr
512;0,17;358;2,3;382;886;Tr;1,1;52;;;Tr;1,41;Tr;Tr;Tr
513; ; ; ;10052; ; ; ;NA;;; ; ; ; ; 
514;0,20;419;2,6;40;576;0,29;11,0;NA;;;0,30;0,36;Tr;Tr;Tr
515;0,03;2;0,3;235;7;Tr;Tr;NA;;;Tr;Tr;Tr;Tr;40,0
516;;;;23432;20468;;;NA;;;;;;;
517;;;;39943;;;;NA;;;;;;;
518;0,07;47;0,5;5024;165;Tr;0,2;NA;;;0,83;0,06;0,15;2,10;Tr
519;;;;32560;;;;NA;;;;;;;
520;0,06;16;5,5;1567;79;0,25;0,3;NA;;;Tr;Tr;0,04;Tr;Tr
521;0,03;5;0,2;1347;20;0,14;0,1;NA;;;Tr;Tr;Tr;Tr;Tr
522;Tr;16;Tr;110;5;0,01;0,1;Tr; ; ;0,07;Tr;Tr;Tr;
523;0,24;26;0,5;44;144;0,16;0,3;NA;;;Tr;Tr;Tr;Tr;Tr
524;Tr;14;0,1;787;16;Tr;0,1;8;;;Tr;0,05;Tr;Tr;Tr
525;0,59;142;1,9;305;354;0,23;1,2;Tr;;;0,06;Tr;Tr;Tr; 
526;0,18;48;1,0;1622;87;0,08;2,7;Tr;;;0,03;Tr;0,07;1,60; 
527;0,27;72;0,6;93;157;0,08;0,6;Tr;;;0,04;Tr;0,04;Tr;Tr
528;0,05;169;2,4;48;295;0,17;4,8;Tr;;;0,03;0,04;Tr;2,09;Tr
529;0,02;216;2,1;83;272;0,06;3,2;37;;;0,05;0,10;Tr;2,92;
530;0,42;87;2,1;59;96;0,13;0,9;Tr;;;0,08;0,05;Tr;Tr;Tr
531;0,11;244;1,4;85;139;0,07;0,5;Tr;;;Tr;Tr;Tr;0,31;4,1
532;0,22;68;0,9;12;184;1,45;1,8;Tr;;;0,03;Tr;Tr;0,32;4,8
533;0,02;23;0,2;248;11;Tr;0,2;Tr;;;Tr;Tr;0,06;Tr;Tr
534;0,06;26;0,3;236;53;0,05;0,2;Tr;;;Tr;Tr;Tr;0,93;Tr
535;0,23;111;0,9;1344;124;0,17;0,6;Tr;33;16;0,04;Tr;0,03;1,10;10,3
536;0,11;57;1,0;29;58;0,06;2,7;Tr;;;Tr;Tr;Tr;4,27; 
537;0,03;186;2,7;123;322;0,14;2,0;28;;;0,06;0,05;Tr;3,25;Tr
538;0,03;195;1,5;99;307;0,12;0,6;28;;;0,07;0,04;0,03;3,37;Tr
539;0,38;199;2,2;365;349;0,22;1,4;9;;;Tr;Tr;Tr;1,44;Tr
540;0,24;105;1,3;278;303;0,15;0,8;Tr; ; ;0,08;0,03;Tr;0,93;Tr
541;0,09;167;0,8;29;256;0,02;0,5;8;;;0,03;Tr;Tr;1,64;5,3
542;0,22;54;1,4;9;84;0,09;0,8;Tr;;;0,04;Tr;Tr;1,44;Tr
543;0,60;55;3,2;407;148;0,16;2,0;Tr;222;111;0,04;0,07;0,05;2,58;Tr
544;0,05;43;0,8;247;153;0,61;1,6;Tr;105;52;Tr;0,03;0,04;;Tr
545;0,10;22;0,2;228;141;0,04;0,2;Tr;283;141;0,04;Tr;0,04;Tr;Tr
546;0,24;45;0,4;3;244;0,17;0,3;NA;510;255;0,05;0,03;0,03;Tr;29,4
547;0,03;103;0,3;248;149;0,08;0,4;Tr;15;7;0,05;Tr;Tr;1,48;9,3
548;0,10;164;7,2;216;199;1,48;1,8;1464;;;Tr;0,11;Tr;3,84;Tr
549;0,37;35;0,6;1;188;0,12;0,6;NA;;;0,03;Tr;Tr;0,60;16,2
550;0,12;89;0,9;1349;240;0,22;0,8;Tr;35;18;0,05;Tr;Tr;;Tr
551;0,06;8;0,2;158;19;0,01;0,0;75;;;Tr;Tr;Tr;Tr;Tr
552;0,52;31;1,1;5;391;0,12;0,9;NA;51;25;Tr;Tr;0,05;Tr;46,4
553;0,04;72;0,7;26;220;0,12;1,2;Tr;;;Tr;Tr;Tr;0,77;Tr
554;0,48;108;1,4;880;209;0,28;0,9;Tr;;;Tr;Tr;Tr;1,80;Tr
555;0,15;135;1,1;346;237;0,07;1,0;10;;;0,14;0,05;Tr;2,60;Tr
556;0,15;83;0,6;794;159;0,06;0,7;NA;62;31;0,16;Tr;Tr;2,09;Tr
557;1,96;407;2,5;Tr;580;0,78;3,2;NA;;;0,10;0,03;0,76;10,18;Tr
558;1,70;261;1,3;376;496;0,68;2,1;NA;;;0,08;Tr;0,21;7,47;Tr
559;0,40;152;1,4;Tr;311;0,20;1,2;NA;;;0,27;0,07;0,06;1,16;12,4
560;0,46;79;1,4;372;147;0,14;0,9;NA;9;5;0,07;0,03;Tr;Tr; 
561;0,28;87;1,3;2;255;0,19;0,7;NA;;;0,04;Tr;Tr;Tr;Tr
562;1,02;385;8,0;Tr;1352;0,79;2,9;NA;;;0,17;Tr;0,65;4,02; 
563;0,53;85;1,1;1;253;0,10;1,1;NA;;;0,12;Tr;Tr;Tr;Tr
